id,ib_var_1,ib_var_2,ib_var_3,ib_var_4,ib_var_5,ib_var_6,ib_var_7,ib_var_8,ib_var_9,ib_var_10,ib_var_11,ib_var_12,ib_var_13,ib_var_14,ib_var_15,ib_var_16,ib_var_17,ib_var_18,ib_var_19,ib_var_20,ib_var_21,icn_var_22,icn_var_23,icn_var_24,ico_var_25,ico_var_26,ico_var_27,ico_var_28,ico_var_29,ico_var_30,ico_var_31,ico_var_32,ico_var_33,ico_var_34,ico_var_35,ico_var_36,ico_var_37,ico_var_38,ico_var_39,ico_var_40,ico_var_41,ico_var_42,ico_var_43,ico_var_44,ico_var_45,ico_var_46,ico_var_47,ico_var_48,ico_var_49,ico_var_50,ico_var_51,ico_var_52,ico_var_53,ico_var_54,ico_var_55,ico_var_56,ico_var_57,ico_var_58,ico_var_59,ico_var_60,ico_var_61,ico_var_62,ico_var_63,ico_var_64,if_var_65,if_var_66,if_var_67,if_var_68,if_var_69,if_var_70,if_var_71,if_var_72,if_var_73,if_var_74,if_var_75,if_var_76,if_var_77,if_var_78,if_var_79,if_var_80,if_var_81
11,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,2,1,2,4,3,5,5,4,5,4,5,9,17,9,9,4,2,4,2,4,2,4,2,3,5,2,4,1,2,4,4,2,4,1,2,2,2,2,2,1,4,2,2,39,100,14,616.7999878,12027.59961,1,2,3,0.875,4,4,6,0.600000024,,4112,0.666666687,1
12,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,2,1,2,5,5,5,5,4,3,5,4,5,17,7,5,4,2,4,2,4,1,5,4,2,4,2,1,1,1,1,2,2,2,2,2,2,4,2,2,2,1,2,2,44,100,12,411.2000122,10280,1,4,4,0.899999976,0,6,8,0.566666663,,5140,0.600000024,1
13,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,2,1,2,4,4,4,3,3,3,4,2,9,11,9,9,3,2,2,4,4,3,4,5,4,3,4,4,3,2,4,4,3,4,3,3,3,4,4,2,3,4,3,2,42,100,6,1028,9252,2,6,5,0.675000012,0,7,3,0.600000024,,5140,0.800000012,3
14,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,3,5,3,5,5,4,5,4,5,5,5,17,13,23,17,3,1,1,1,3,2,5,4,2,5,3,4,1,1,1,4,1,4,2,2,2,2,1,1,1,4,3,1,31,100,8,1542,2056,1,5,6,0.949999988,0,5,8,0.366666675,,2570,0.766666651,0
15,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,2,1,2,5,4,4,4,4,2,4,4,9,17,13,9,4,4,2,4,4,4,4,4,2,4,2,2,2,2,2,4,4,4,4,2,2,4,2,2,2,2,2,2,40,100,15,6168,30840,1,3,2,0.774999976,0,12,13,0.733333349,,1028,0.600000024,1
16,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,3,1,2,5,5,4,5,4,5,2,2,1,7,16,9,4,4,4,3,3,4,4,5,2,5,4,5,1,1,3,3,2,4,2,1,2,4,1,3,1,5,1,1,30,100,9,1542,4112,1,5,5,0.800000012,1,6,3,0.733333349,18.4878,5140,0.833333313,0
17,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,2,1,1,4,4,3,4,4,3,5,4,13,11,23,13,3,3,3,2,3,2,4,4,3,4,3,3,3,2,2,2,3,2,2,4,2,2,2,2,3,3,3,2,32,100,10,3084,10280,3,3,1,0.774999976,0,6,9,0.533333361,5.8537,5140,0.699999988,1
18,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,3,1,1,5,4,4,5,4,5,4,4,13,11,23,13,4,5,4,4,4,5,5,5,4,5,4,5,2,2,2,4,2,4,2,1,1,4,4,2,3,5,4,2,44,100,13,1028,2056,2,4,4,0.875,0,4,4,0.866666675,15.4146,3084,0.933333337,1
19,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,2,1,1,3,4,3,2,4,4,3,2,9,9,23,9,2,2,2,2,2,3,5,2,2,4,3,3,3,4,4,3,2,4,2,4,4,3,4,4,4,4,2,2,44,100,20,1028,6168,1,4,2,0.625,5,8,6,0.433333337,2.122,5140,0.633333325,2
20,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,3,1,2,4,4,4,5,4,3,4,4,13,9,13,15,4,4,2,2,4,3,4,4,4,4,2,2,2,2,2,4,2,4,2,2,2,4,2,2,2,4,2,2,44,100,5,308.3999939,1542,1,6,6,0.800000012,0,8,9,0.633333325,19.5854,4112,0.666666687,1
21,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,2,1,2,5,5,5,5,3,4,5,3,1,13,8,7,2,2,1,3,2,1,3,5,1,5,4,4,1,3,1,4,1,4,1,1,2,4,1,1,2,3,1,1,35,100,10,1542,5140,1,1,2,0.875,0,7,5,0.366666675,12.3902,5140,0.733333349,2
22,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,2,1,1,5,2,5,5,4,5,5,3,17,9,12,17,1,1,2,1,2,1,5,5,1,5,1,4,1,2,3,3,4,3,3,5,2,2,3,2,2,3,1,1,42,100,15,1028,6168,2,2,3,0.850000024,6,8,6,0.266666681,,3084,0.699999988,4
23,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,2,1,1,4,4,4,4,4,4,3,4,11,13,23,14,2,2,2,2,2,4,4,4,2,4,2,2,3,2,2,2,2,3,2,3,2,3,2,2,3,2,2,2,51,100,20,205.6000061,7710,1,5,6,0.774999976,0,15,7,0.466666669,22.561,3084,0.600000024,2
24,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,2,1,1,4,4,5,4,4,5,5,4,10,7,17,10,4,3,2,2,2,3,5,4,2,4,2,2,2,2,2,2,4,2,1,2,1,2,1,2,3,1,2,1,32,100,4,8738,9252,1,1,3,0.875,1,9,6,0.533333361,12.8049,3598,0.633333325,2
25,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,2,1,2,3,4,3,4,3,2,3,3,7,11,15,7,4,3,4,4,4,4,4,4,3,4,4,4,2,2,3,2,3,4,4,3,2,4,3,3,3,4,2,2,48,100,15,2056,9252,2,3,6,0.625,0,5,6,0.766666651,,5140,0.766666651,3
26,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,2,1,1,4,4,4,4,3,4,3,4,1,14,23,1,4,2,4,3,4,3,4,4,2,4,3,4,2,2,4,4,3,3,3,2,3,4,3,2,3,4,2,2,37,100,20,1850.400024,5140,1,3,2,0.75,0,5,6,0.666666687,13.7561,719.5999756,0.699999988,3
27,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,2,1,1,5,4,4,5,4,3,3,5,11,13,20,8,3,3,2,2,3,2,5,5,4,5,3,2,1,2,4,4,2,2,3,2,3,2,3,3,4,4,2,1,52,100,7,2056,3598,1,2,4,0.824999988,0,4,4,0.5,12.7561,3598,0.800000012,3
28,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,3,1,1,4,5,4,4,4,4,4,4,5,14,5,5,4,3,2,3,4,4,4,4,4,4,2,4,2,2,2,4,2,4,2,3,4,4,2,2,2,4,2,2,41,100,6,719.5999756,2570,1,5,5,0.824999988,1,7,9,0.666666687,21.8293,4626,0.733333349,4
29,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,2,5,2,3,4,4,3,3,3,4,3,4,17,13,8,4,2,2,3,3,3,3,4,2,4,3,2,2,3,2,3,3,2,3,3,2,2,3,2,2,2,2,2,26,100,5,1542,22616,1,5,6,0.675000012,0,9,8,0.566666663,9.7073,5140,0.600000024,1
30,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,2,1,1,5,5,4,5,4,4,4,4,1,13,17,1,3,2,3,2,1,4,5,4,2,4,1,4,2,2,3,5,2,4,1,2,2,4,2,2,2,4,2,1,36,100,6,8738,9252,1,5,6,0.875,2,5,4,0.5,22.1951,2570,0.666666687,1
31,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,2,1,1,4,4,3,3,3,4,5,3,11,9,13,13,1,2,2,3,2,4,2,4,2,4,1,2,2,1,3,2,3,2,2,1,5,1,2,3,1,4,1,1,43,100,15,514,7607.200195,1,6,5,0.725000024,2,6,5,0.466666669,3.5122,2364.399902,0.5,4
32,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,2,1,1,4,3,3,3,3,2,2,4,12,16,9,12,3,3,3,3,3,3,4,4,2,4,4,4,2,3,3,2,3,4,3,3,2,4,4,2,4,4,2,2,38,100,10,205.6000061,8943.599609,1,7,6,0.600000024,0,12,9,0.600000024,13.3171,9766,0.733333349,4
33,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,3,1,2,4,4,4,5,5,4,4,5,8,8,10,8,2,2,2,2,2,1,4,4,2,4,4,2,2,2,2,1,2,2,1,3,2,4,2,2,2,4,4,2,33,100,8,1542,4626,2,2,3,0.875,1,12,9,0.366666675,8.3902,1028,0.666666687,2
34,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,3,1,2,4,4,4,5,4,4,4,4,1,11,17,1,4,3,4,4,4,5,4,4,2,4,2,4,2,1,2,4,2,4,2,2,2,4,4,2,1,3,3,2,29,100,5,1850.400024,2570,1,2,4,0.824999988,1,10,4,0.800000012,10.3659,5140,0.666666687,2
35,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,2,1,2,5,4,5,5,4,5,5,5,5,15,11,5,2,2,2,1,1,1,4,5,1,5,1,4,1,1,1,4,1,4,1,1,3,1,2,1,1,3,2,1,29,100,5,3084,3598,2,3,1,0.949999988,2,10,6,0.300000012,24.0732,2570,0.666666687,2
36,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,2,1,1,5,4,4,5,3,2,5,5,1,14,23,23,5,1,4,5,2,5,1,4,1,5,2,1,1,4,2,4,2,5,5,1,3,4,2,2,2,4,1,1,44,100,6,3084,13364,2,5,5,0.824999988,7,3,5,0.733333349,23.0976,10280,0.466666669,3
37,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,2,1,1,4,4,4,4,4,4,4,4,5,12,18,7,4,2,4,2,2,3,4,4,2,4,2,4,4,2,2,2,3,3,2,2,2,3,3,3,2,2,3,1,40,100,5,2570,30840,1,2,3,0.800000012,2,11,7,0.566666663,16.0732,10280,0.666666687,5
38,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,2,1,1,3,2,5,5,1,1,4,5,3,9,23,15,1,2,2,3,5,4,2,2,1,1,1,2,2,2,4,5,2,2,2,5,4,1,1,5,3,2,4,1,29,100,10,8738,12336,1,1,4,0.649999976,8,3,4,0.566666663,6.6585,8224,0.300000012,2
39,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,2,1,2,4,5,4,3,4,4,2,4,8,9,8,22,4,4,2,3,4,3,2,4,2,4,2,4,2,1,3,5,3,4,2,2,2,2,2,2,2,2,2,1,42,100,11,5140,4934.399902,1,1,5,0.75,3,4,6,0.666666687,30,5140,0.600000024,3
40,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,3,1,2,4,4,4,5,4,4,3,4,17,9,14,22,2,2,4,3,2,3,4,4,1,4,4,4,2,1,4,4,3,4,2,2,2,4,3,3,2,2,2,2,37,100,10,6168,6168,2,4,6,0.800000012,0,6,8,0.533333361,22.2195,5140,0.699999988,4
41,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,2,1,2,3,3,3,4,3,3,3,3,1,7,7,17,2,1,4,3,3,3,4,3,3,4,4,2,3,2,2,4,3,3,3,3,2,3,3,2,3,3,2,2,38,100,4,1028,3084,3,1,10,0.625,1,8,10,0.533333361,11.1951,5140,0.666666687,3
42,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,2,1,2,4,4,4,2,4,4,4,4,9,2,22,9,4,4,2,5,2,2,4,4,2,4,2,4,1,2,1,3,2,2,2,4,2,5,2,1,2,3,4,2,41,100,10,4626,4626,3,5,4,0.75,4,11,4,0.633333325,23.0732,2570,0.666666687,4
43,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,1,2,5,5,5,5,5,2,2,5,13,17,23,13,5,1,1,4,2,5,5,5,2,5,5,5,1,1,1,4,1,2,4,5,1,2,4,1,3,5,1,1,54,100,10,8738,34512.5,1,5,2,0.850000024,2,7,5,0.600000024,23.7561,5140,0.899999976,2
44,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,2,1,1,3,4,4,2,1,3,3,3,1,9,21,7,4,4,4,4,4,5,5,1,2,4,1,5,3,1,3,2,4,4,2,3,4,4,4,1,4,3,4,1,42,100,12,1028,10280,1,4,6,0.574999988,9,9,2,0.833333313,20.1707,2672.800049,0.600000024,4
45,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,3,1,2,5,4,5,3,3,3,3,4,1,5,12,1,2,3,2,2,3,1,3,4,3,3,3,2,3,3,2,3,2,2,2,2,2,3,2,2,2,3,2,2,42,100,5,8738,20560,1,1,2,0.75,0,10,10,0.433333337,2.6341,5140,0.600000024,5
46,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,2,5,2,5,5,4,3,3,5,3,4,4,13,8,1,4,3,4,2,4,3,5,5,1,5,2,5,3,2,2,4,3,3,3,2,2,3,3,2,3,2,2,2,28,100,2,514,2570,1,1,6,0.800000012,2,4,6,0.666666687,8.6341,3084,0.766666651,1
47,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,1,2,4,4,3,4,3,4,3,4,9,11,23,9,3,4,4,3,2,3,4,4,2,3,2,2,1,2,2,2,1,4,2,2,1,3,2,2,3,2,2,2,49,100,20,6168,3084,1,4,1,0.725000024,0,5,10,0.633333325,17.3415,5140,0.566666663,5
48,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,2,1,1,4,4,4,4,4,4,3,4,1,7,9,8,4,4,3,3,3,4,4,5,3,5,2,4,1,2,2,4,3,4,2,2,1,3,2,2,2,4,2,1,31,100,2,1542,2570,1,5,7,0.774999976,1,8,6,0.699999988,10.4878,5140,0.766666651,1
49,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,2,1,3,4,5,4,4,4,4,4,5,13,16,20,13,4,3,4,4,4,2,4,5,1,5,3,4,2,1,2,5,3,4,4,2,2,3,3,2,3,4,3,1,41,100,19,514,7196,1,6,5,0.850000024,0,8,1,0.699999988,,5140,0.733333349,3
50,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,3,1,1,5,4,4,5,4,5,4,5,8,8,8,8,4,4,1,1,4,2,3,4,1,5,1,2,1,2,4,2,2,1,3,2,1,1,2,1,1,4,2,1,44,100,20,514,1.079399943,1,1,4,0.899999976,0,6,4,0.533333361,7.7317,8224,0.533333361,3
51,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,2,1,1,4,4,4,4,4,4,4,4,15,9,22,8,4,3,3,3,4,4,4,4,3,5,3,3,2,2,3,4,2,4,2,2,3,4,2,3,2,3,3,2,43,100,10,5140,34512.5,1,4,6,0.800000012,0,11,7,0.699999988,19.9756,5140,0.733333349,4
52,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,5,1,5,5,2,5,5,5,5,5,1,1,23,12,4,1,5,3,3,2,5,5,1,5,4,4,3,1,4,4,1,2,2,1,4,3,3,1,3,1,1,1,22,40,5,8738,12336,1,4,1,0.925000012,2,9,9,0.600000024,18.2927,5140,0.800000012,0
53,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,2,1,1,4,4,4,4,2,4,4,4,1,12,23,15,4,2,3,4,4,3,4,5,2,4,4,4,2,2,4,2,4,2,2,4,2,2,2,3,2,4,2,2,57,100,20,1542,3084,1,3,4,0.75,1,9,9,0.666666687,19.1707,1336.400024,0.766666651,1
54,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,2,1,3,3,5,3,5,4,5,5,5,7,7,23,9,3,5,3,3,4,3,3,3,3,5,3,5,1,1,1,5,1,3,1,3,3,5,3,1,1,3,3,1,40,100,5,5140,12336,3,2,5,0.875,0,6,7,0.699999988,7.3659,4112,0.733333349,2
55,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,3,1,3,5,5,4,5,4,5,4,5,1,17,12,13,5,5,5,5,4,5,5,5,4,5,5,5,2,1,1,5,2,4,1,1,1,5,2,2,2,5,2,1,28,100,11,514,9252,2,5,6,0.925000012,0,5,6,0.966666639,14.1707,5140,0.966666639,3
56,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,2,1,2,3,4,3,4,3,3,2,3,7,12,12,7,5,3,5,3,4,3,4,5,1,5,1,5,1,1,3,2,3,4,3,3,1,5,3,3,2,5,3,1,34,100,3,3084,4112,1,3,1,0.625,3,4,4,0.766666651,14.2439,1542,0.699999988,3
57,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,2,1,3,5,5,5,5,4,4,4,5,1,14,8,1,3,3,2,4,1,4,4,5,2,5,2,4,1,1,2,4,4,2,2,3,1,3,1,3,1,4,2,1,46,100,12,514,16448,1,4,5,0.925000012,1,7,4,0.566666663,17.9512,2570,0.733333349,2
58,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,2,1,2,4,4,4,4,5,4,4,3,11,15,7,14,3,3,1,3,4,1,3,4,4,4,4,4,2,1,3,3,2,4,2,3,1,4,3,3,2,4,3,1,31,100,6,4626,7196,1,6,6,0.800000012,0,6,5,0.5,9.4634,5140,0.766666651,1
59,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,2,1,1,4,4,4,3,4,4,4,4,19,12,20,19,4,2,4,2,4,4,4,4,2,4,4,4,2,2,2,2,2,4,2,2,4,2,2,2,2,4,4,2,48,100,30,616.7999878,3700.800049,2,5,3,0.774999976,0,9,11,0.666666687,20.878,411.2000122,0.733333349,3
60,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,2,1,2,4,3,4,4,4,4,4,4,5,15,15,4,2,2,2,2,2,4,5,4,3,4,2,2,2,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,38,100,8,8738,5140,4,1,1,0.774999976,0,13,11,0.466666669,3.9024,4112,0.666666687,3
61,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,2,1,1,5,5,5,5,4,5,2,5,16,17,9,23,4,4,4,4,4,4,4,4,3,5,4,4,1,1,1,2,2,4,3,3,3,4,1,1,1,4,2,1,40,100,22,4112,15420,4,4,7,0.899999976,0,9,7,0.800000012,0.0732,5140,0.800000012,3
62,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,2,1,3,4,4,4,5,4,4,3,4,1,17,23,14,3,2,2,3,3,3,4,4,2,3,2,2,2,1,3,5,2,4,2,3,3,4,3,2,3,4,2,1,34,100,5,205.6000061,1542,1,2,4,0.800000012,0,9,2,0.533333361,16.7561,1542,0.566666663,2
63,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,2,5,3,4,4,4,4,5,4,4,4,9,15,23,10,4,1,2,4,2,4,4,4,2,5,1,4,1,2,2,4,3,4,2,1,2,4,2,2,2,4,2,2,24,100,7,2056,34512.5,1,5,4,0.824999988,3,7,4,0.566666663,10.3171,5140,0.666666687,0
64,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,2,1,2,5,5,5,5,5,5,5,5,22,9,5,22,5,5,5,5,5,5,5,5,1,5,5,5,1,1,1,5,1,5,1,1,1,4,1,3,1,5,2,1,39,100,4,8738,30840,2,8,7,1,0,15,5,1,15.1463,5140,0.866666675,4
65,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,3,1,2,4,4,4,4,4,3,4,4,12,7,14,9,4,3,4,3,4,4,4,4,2,5,4,4,1,2,2,3,3,3,3,2,3,4,2,2,2,3,2,2,33,100,6,308.3999939,2672.800049,1,1,8,0.774999976,0,8,9,0.733333349,18.3171,2570,0.766666651,1
66,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,2,1,2,4,4,4,4,3,3,3,4,5,7,9,7,4,2,2,4,2,4,4,5,3,4,2,4,2,2,3,2,3,4,2,2,1,4,2,2,3,2,2,3,49,100,3,1028,5140,1,3,4,0.725000024,2,7,5,0.600000024,19.0732,3598,0.733333349,2
67,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,2,1,1,5,5,4,4,5,5,5,5,18,14,11,5,4,1,4,4,4,4,5,5,1,4,4,4,2,2,1,4,1,4,1,1,1,4,2,1,1,1,1,1,37,100,30,1028,5140,1,4,2,0.949999988,0,10,9,0.699999988,16.0732,5140,0.766666651,0
68,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,2,1,3,4,4,4,5,4,3,4,5,2,6,23,2,4,2,3,1,1,2,5,5,2,5,1,5,2,1,2,3,1,2,3,3,3,4,1,1,2,2,2,2,30,100,10,4112,4112,2,5,6,0.824999988,5,5,6,0.433333337,8.0488,1028,0.766666651,3
69,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,2,1,1,5,4,4,5,4,5,5,4,7,7,1,17,3,4,1,4,1,3,5,4,4,5,1,2,1,1,1,1,1,4,2,1,4,1,1,1,1,4,2,2,33,100,5,2570,34512.5,4,1,2,0.899999976,0,4,9,0.533333361,14.7317,15294,0.699999988,2
70,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,2,1,1,5,4,5,4,2,4,4,4,1,9,20,9,2,3,1,4,1,2,2,5,2,5,1,2,1,1,3,3,2,5,4,2,1,1,2,2,3,2,2,1,44,100,22,2056,9252,1,4,1,0.800000012,5,3,5,0.433333337,18.3902,616.7999878,0.566666663,3
